"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US22109","Terrebonne Parish, Louisiana","48446","7344"
"0500000US23001","Androscoggin County, Maine","63813","6580"
"0500000US23003","Aroostook County, Maine","38768","3114"
"0500000US23005","Cumberland County, Maine","76059","3695"
"0500000US23011","Kennebec County, Maine","55389","3510"
"0500000US23019","Penobscot County, Maine","50449","3052"
"0500000US23031","York County, Maine","66648","3905"
"0500000US24001","Allegany County, Maryland","48867","5616"
"0500000US24003","Anne Arundel County, Maryland","101147","2184"
"0500000US24005","Baltimore County, Maryland","77358","3160"
"0500000US24009","Calvert County, Maryland","112380","6174"
"0500000US24013","Carroll County, Maryland","103014","5381"
"0500000US24015","Cecil County, Maryland","76441","6318"
"0500000US24017","Charles County, Maryland","103932","4980"
"0500000US24021","Frederick County, Maryland","103516","3391"
"0500000US24025","Harford County, Maryland","92331","5670"
"0500000US24027","Howard County, Maryland","121618","4896"
"0500000US24031","Montgomery County, Maryland","110389","3032"
"0500000US24033","Prince George's County, Maryland","86290","2875"
"0500000US24037","St. Mary's County, Maryland","87947","10780"
"0500000US24043","Washington County, Maryland","59140","4092"
"0500000US24045","Wicomico County, Maryland","54402","5847"
"0500000US24510","Baltimore city, Maryland","50177","2120"
"0500000US25001","Barnstable County, Massachusetts","85042","4879"
"0500000US25003","Berkshire County, Massachusetts","58895","3612"
"0500000US25005","Bristol County, Massachusetts","70402","3622"
"0500000US25009","Essex County, Massachusetts","83810","3144"
"0500000US25011","Franklin County, Massachusetts","60018","2352"
"0500000US25013","Hampden County, Massachusetts","60161","2453"
"0500000US25015","Hampshire County, Massachusetts","74778","4465"
"0500000US25017","Middlesex County, Massachusetts","107056","2793"
"0500000US25021","Norfolk County, Massachusetts","107361","4022"
"0500000US25023","Plymouth County, Massachusetts","90880","2512"
"0500000US25025","Suffolk County, Massachusetts","77558","3968"
"0500000US25027","Worcester County, Massachusetts","78345","3440"
"0500000US26005","Allegan County, Michigan","66278","4306"
"0500000US26017","Bay County, Michigan","49610","2890"
"0500000US26021","Berrien County, Michigan","50153","2276"
"0500000US26025","Calhoun County, Michigan","49055","3626"
"0500000US26037","Clinton County, Michigan","69651","6530"
"0500000US26045","Eaton County, Michigan","65409","4097"
"0500000US26049","Genesee County, Michigan","50389","1752"
"0500000US26055","Grand Traverse County, Michigan","65266","4866"
"0500000US26065","Ingham County, Michigan","54395","2685"
"0500000US26073","Isabella County, Michigan","45201","3164"
"0500000US26075","Jackson County, Michigan","55124","4113"
"0500000US26077","Kalamazoo County, Michigan","56441","1702"
"0500000US26081","Kent County, Michigan","66532","1867"
"0500000US26087","Lapeer County, Michigan","66263","3403"
"0500000US26091","Lenawee County, Michigan","53865","3844"
"0500000US26093","Livingston County, Michigan","86512","4202"
"0500000US26099","Macomb County, Michigan","64947","1776"
"0500000US26103","Marquette County, Michigan","55148","5681"
"0500000US26111","Midland County, Michigan","69872","5384"
"0500000US26115","Monroe County, Michigan","62839","3770"
"0500000US26121","Muskegon County, Michigan","50366","2865"
"0500000US26125","Oakland County, Michigan","81190","1049"
